date,city,city_name,total,houses,non_houses
2005-04-01,Brisbane,Greater Brisbane,1085.0,720.0,365.0
2005-04-01,Adelaide,Greater Adelaide,613.0,469.0,144.0
2005-04-01,Perth,Greater Perth,1669.0,1123.0,546.0
2005-04-01,Hobart,Greater Hobart,78.0,70.0,8.0
2005-04-01,Darwin,Greater Darwin,41.0,37.0,4.0
2005-04-01,ACT,Australian Capital Territory,136.0,136.0,0.0
2005-05-01,Sydney,Greater Sydney,1815.0,569.0,1246.0
2005-05-01,Melbourne,Greater Melbourne,2947.0,1932.0,1015.0
2005-05-01,Brisbane,Greater Brisbane,2001.0,925.0,1076.0
2005-05-01,Adelaide,Greater Adelaide,714.0,549.0,165.0
2005-05-01,Perth,Greater Perth,1760.0,1427.0,333.0
2005-05-01,Hobart,Greater Hobart,126.0,95.0,31.0
2005-05-01,Darwin,Greater Darwin,73.0,40.0,33.0
2005-05-01,ACT,Australian Capital Territory,206.0,138.0,68.0
2005-06-01,Sydney,Greater Sydney,1270.0,611.0,659.0
2005-06-01,Melbourne,Greater Melbourne,3798.0,2404.0,1394.0
2005-06-01,Brisbane,Greater Brisbane,1359.0,897.0,462.0
2005-06-01,Adelaide,Greater Adelaide,555.0,450.0,105.0
2005-06-01,Perth,Greater Perth,1539.0,1273.0,266.0
2005-06-01,Hobart,Greater Hobart,100.0,80.0,20.0
2005-06-01,Darwin,Greater Darwin,83.0,40.0,43.0
2005-06-01,ACT,Australian Capital Territory,113.0,80.0,33.0
2005-07-01,Sydney,Greater Sydney,1488.0,596.0,892.0
2005-07-01,Melbourne,Greater Melbourne,1916.0,1500.0,416.0
2005-07-01,Brisbane,Greater Brisbane,1786.0,912.0,874.0
2005-07-01,Adelaide,Greater Adelaide,665.0,458.0,207.0
2005-07-01,Perth,Greater Perth,1537.0,1265.0,272.0
2005-07-01,Hobart,Greater Hobart,98.0,93.0,5.0
2005-07-01,Darwin,Greater Darwin,141.0,26.0,115.0
2005-07-01,ACT,Australian Capital Territory,89.0,85.0,4.0
2005-08-01,Sydney,Greater Sydney,1656.0,631.0,1025.0
2005-08-01,Melbourne,Greater Melbourne,2109.0,1644.0,465.0
2005-08-01,Brisbane,Greater Brisbane,1341.0,891.0,450.0
2005-08-01,Adelaide,Greater Adelaide,726.0,486.0,240.0
2005-08-01,Perth,Greater Perth,1697.0,1345.0,352.0
2005-08-01,Hobart,Greater Hobart,109.0,103.0,6.0
2005-08-01,Darwin,Greater Darwin,117.0,44.0,73.0
2005-08-01,ACT,Australian Capital Territory,204.0,84.0,120.0
2005-09-01,Sydney,Greater Sydney,1907.0,655.0,1252.0
2005-09-01,Melbourne,Greater Melbourne,2107.0,1537.0,570.0
2005-09-01,Brisbane,Greater Brisbane,1422.0,818.0,604.0
2005-09-01,Adelaide,Greater Adelaide,619.0,478.0,141.0
2005-09-01,Perth,Greater Perth,1501.0,1349.0,152.0
2005-09-01,Hobart,Greater Hobart,92.0,72.0,20.0
2005-09-01,Darwin,Greater Darwin,49.0,44.0,5.0
2005-09-01,ACT,Australian Capital Territory,90.0,66.0,24.0
2005-10-01,Sydney,Greater Sydney,1575.0,580.0,995.0
2005-10-01,Melbourne,Greater Melbourne,2217.0,1443.0,774.0
2005-10-01,Brisbane,Greater Brisbane,1420.0,809.0,611.0
2005-10-01,Adelaide,Greater Adelaide,673.0,439.0,234.0
2005-10-01,Perth,Greater Perth,1716.0,1524.0,192.0
